# file...... house1.csv
# date...... Tue Aug  7 11:12:12 2012
# user...... mike
# host...... (null)
# target.... house 13
# trigger... (none)
# interval.. 60
# limit..... 1000000
# timestamp,air_temperature
2012-08-07 07:45:12 PDT,+70.7447
2012-08-07 07:46:12 PDT,+70.7803
2012-08-07 07:47:12 PDT,+70.8158
2012-08-07 07:48:12 PDT,+70.8514
2012-08-07 07:49:12 PDT,+70.8869
2012-08-07 07:50:12 PDT,+70.9225
2012-08-07 07:51:12 PDT,+70.9582
2012-08-07 07:52:12 PDT,+70.9938
2012-08-07 07:53:12 PDT,+71.0294
2012-08-07 07:54:12 PDT,+71.065
2012-08-07 07:55:12 PDT,+71.1006
2012-08-07 07:56:12 PDT,+71.1363
2012-08-07 07:57:12 PDT,+71.1719
2012-08-07 07:58:12 PDT,+71.2075
2012-08-07 07:59:12 PDT,+71.243
2012-08-07 08:00:12 PDT,+71.2786
2012-08-07 08:01:12 PDT,+71.3141
2012-08-07 08:02:12 PDT,+71.3493
2012-08-07 08:03:12 PDT,+71.3842
2012-08-07 08:04:12 PDT,+71.4187
2012-08-07 08:05:12 PDT,+71.453
2012-08-07 08:06:12 PDT,+71.4871
2012-08-07 08:07:12 PDT,+71.5209
2012-08-07 08:08:12 PDT,+71.5545
2012-08-07 08:09:12 PDT,+71.588
2012-08-07 08:10:12 PDT,+71.6212
2012-08-07 08:11:12 PDT,+71.6544
2012-08-07 08:12:12 PDT,+71.6873
2012-08-07 08:13:12 PDT,+71.7201
2012-08-07 08:14:12 PDT,+71.7527
2012-08-07 08:15:12 PDT,+71.7852
2012-08-07 08:16:12 PDT,+71.8176
2012-08-07 08:17:12 PDT,+71.8499
2012-08-07 08:18:12 PDT,+71.882
2012-08-07 08:19:12 PDT,+71.914
2012-08-07 08:20:12 PDT,+71.9459
2012-08-07 08:21:12 PDT,+71.9776
2012-08-07 08:22:12 PDT,+72.0093
2012-08-07 08:23:12 PDT,+72.0409
2012-08-07 08:24:12 PDT,+72.0723
2012-08-07 08:25:12 PDT,+72.1036
2012-08-07 08:26:12 PDT,+72.1349
2012-08-07 08:27:12 PDT,+72.166
2012-08-07 08:28:12 PDT,+72.1971
2012-08-07 08:29:12 PDT,+72.228
2012-08-07 08:30:12 PDT,+72.2589
2012-08-07 08:31:12 PDT,+72.2897
2012-08-07 08:32:12 PDT,+72.3204
2012-08-07 08:33:12 PDT,+72.351
2012-08-07 08:34:12 PDT,+72.3815
2012-08-07 08:35:12 PDT,+72.412
2012-08-07 08:36:12 PDT,+72.4424
2012-08-07 08:37:12 PDT,+72.4727
2012-08-07 08:38:12 PDT,+72.5029
2012-08-07 08:39:12 PDT,+72.5331
2012-08-07 08:40:12 PDT,+72.5632
2012-08-07 08:41:12 PDT,+72.5932
2012-08-07 08:42:12 PDT,+72.6232
2012-08-07 08:43:12 PDT,+72.6531
2012-08-07 08:44:12 PDT,+72.683
2012-08-07 08:45:12 PDT,+72.7128
2012-08-07 08:46:12 PDT,+72.7425
2012-08-07 08:47:12 PDT,+72.7722
2012-08-07 08:48:12 PDT,+72.8019
2012-08-07 08:49:12 PDT,+72.8315
2012-08-07 08:50:12 PDT,+72.861
2012-08-07 08:51:12 PDT,+72.8905
2012-08-07 08:52:12 PDT,+72.92
2012-08-07 08:53:12 PDT,+72.9494
2012-08-07 08:54:12 PDT,+72.9789
2012-08-07 08:55:12 PDT,+73.0082
2012-08-07 08:56:12 PDT,+73.0376
2012-08-07 08:57:12 PDT,+73.0669
2012-08-07 08:58:12 PDT,+73.0962
2012-08-07 08:59:12 PDT,+73.1254
2012-08-07 09:00:12 PDT,+73.1547
2012-08-07 09:01:12 PDT,+73.1839
2012-08-07 09:02:12 PDT,+73.2131
2012-08-07 09:03:12 PDT,+73.2425
2012-08-07 09:04:12 PDT,+73.2718
2012-08-07 09:05:12 PDT,+73.3012
2012-08-07 09:06:12 PDT,+73.3307
2012-08-07 09:07:12 PDT,+73.3601
2012-08-07 09:08:12 PDT,+73.3897
2012-08-07 09:09:12 PDT,+73.4192
2012-08-07 09:10:12 PDT,+73.4488
2012-08-07 09:11:12 PDT,+73.4784
2012-08-07 09:12:12 PDT,+73.508
2012-08-07 09:13:12 PDT,+73.5377
2012-08-07 09:14:12 PDT,+73.5674
2012-08-07 09:15:12 PDT,+73.5971
2012-08-07 09:16:12 PDT,+73.6269
2012-08-07 09:17:12 PDT,+73.6567
2012-08-07 09:18:12 PDT,+73.6865
2012-08-07 09:19:12 PDT,+73.7163
2012-08-07 09:20:12 PDT,+73.7462
2012-08-07 09:21:12 PDT,+73.7761
2012-08-07 09:22:12 PDT,+73.8061
2012-08-07 09:23:12 PDT,+73.8361
2012-08-07 09:24:12 PDT,+73.8661
2012-08-07 09:25:12 PDT,+73.8962
2012-08-07 09:26:12 PDT,+73.9262
2012-08-07 09:27:12 PDT,+73.9564
2012-08-07 09:28:12 PDT,+73.9865
2012-08-07 09:29:12 PDT,+74.0167
2012-08-07 09:30:12 PDT,+74.047
2012-08-07 09:31:12 PDT,+74.0772
2012-08-07 09:32:12 PDT,+74.1076
2012-08-07 09:33:12 PDT,+74.1379
2012-08-07 09:34:12 PDT,+74.1683
2012-08-07 09:35:12 PDT,+74.1987
2012-08-07 09:36:12 PDT,+74.2292
2012-08-07 09:37:12 PDT,+74.2597
2012-08-07 09:38:12 PDT,+74.2903
2012-08-07 09:39:12 PDT,+74.3209
2012-08-07 09:40:12 PDT,+74.3515
2012-08-07 09:41:12 PDT,+74.3822
2012-08-07 09:42:12 PDT,+74.4129
2012-08-07 09:43:12 PDT,+74.4437
2012-08-07 09:44:12 PDT,+74.4745
2012-08-07 09:45:12 PDT,+74.5053
2012-08-07 09:46:12 PDT,+74.5362
2012-08-07 09:47:12 PDT,+74.5672
2012-08-07 09:48:12 PDT,+74.5982
2012-08-07 09:49:12 PDT,+74.6292
2012-08-07 09:50:12 PDT,+74.6603
2012-08-07 09:51:12 PDT,+74.6915
2012-08-07 09:52:12 PDT,+74.7227
2012-08-07 09:53:12 PDT,+74.7539
2012-08-07 09:54:12 PDT,+74.7852
2012-08-07 09:55:12 PDT,+74.8165
2012-08-07 09:56:12 PDT,+74.8479
2012-08-07 09:57:12 PDT,+74.8794
2012-08-07 09:58:12 PDT,+74.9109
2012-08-07 09:59:12 PDT,+74.9424
2012-08-07 10:00:12 PDT,+74.974
2012-08-07 10:01:12 PDT,+75.0057
2012-08-07 10:02:12 PDT,+75.0376
2012-08-07 10:03:12 PDT,+75.0697
2012-08-07 10:04:12 PDT,+75.102
2012-08-07 10:05:12 PDT,+75.1345
2012-08-07 10:06:12 PDT,+75.1672
2012-08-07 10:07:12 PDT,+75.1999
2012-08-07 10:08:12 PDT,+75.2329
2012-08-07 10:09:12 PDT,+75.2659
2012-08-07 10:10:12 PDT,+75.299
2012-08-07 10:11:12 PDT,+75.3322
2012-08-07 10:12:12 PDT,+75.3656
2012-08-07 10:13:12 PDT,+75.399
2012-08-07 10:14:12 PDT,+75.4325
2012-08-07 10:15:12 PDT,+75.466
2012-08-07 10:16:12 PDT,+75.4997
2012-08-07 10:17:12 PDT,+75.5334
2012-08-07 10:18:12 PDT,+75.5672
2012-08-07 10:19:12 PDT,+75.601
2012-08-07 10:20:12 PDT,+75.635
2012-08-07 10:21:12 PDT,+75.6689
2012-08-07 10:22:12 PDT,+75.703
2012-08-07 10:23:12 PDT,+75.7371
2012-08-07 10:24:12 PDT,+75.7712
2012-08-07 10:25:12 PDT,+75.8054
2012-08-07 10:26:12 PDT,+75.8397
2012-08-07 10:27:12 PDT,+75.874
2012-08-07 10:28:12 PDT,+75.9083
2012-08-07 10:29:12 PDT,+75.9427
2012-08-07 10:30:12 PDT,+75.9771
2012-08-07 10:31:12 PDT,+76.0116
2012-08-07 10:32:12 PDT,+76.0462
2012-08-07 10:33:12 PDT,+76.0807
2012-08-07 10:34:12 PDT,+76.1153
2012-08-07 10:35:12 PDT,+76.15
2012-08-07 10:36:12 PDT,+76.1847
2012-08-07 10:37:12 PDT,+76.2194
2012-08-07 10:38:12 PDT,+76.2541
2012-08-07 10:39:12 PDT,+76.2889
2012-08-07 10:40:12 PDT,+76.3237
2012-08-07 10:41:12 PDT,+76.3585
2012-08-07 10:42:12 PDT,+76.3934
2012-08-07 10:43:12 PDT,+76.4283
2012-08-07 10:44:12 PDT,+76.4632
2012-08-07 10:45:12 PDT,+76.4982
2012-08-07 10:46:12 PDT,+76.5331
2012-08-07 10:47:12 PDT,+76.5681
2012-08-07 10:48:12 PDT,+76.6031
2012-08-07 10:49:12 PDT,+76.6381
2012-08-07 10:50:12 PDT,+76.6731
2012-08-07 10:51:12 PDT,+76.7082
2012-08-07 10:52:12 PDT,+76.7432
2012-08-07 10:53:12 PDT,+76.7783
2012-08-07 10:54:12 PDT,+76.8134
2012-08-07 10:55:12 PDT,+76.8485
2012-08-07 10:56:12 PDT,+76.8836
2012-08-07 10:57:12 PDT,+76.9187
2012-08-07 10:58:12 PDT,+76.9538
2012-08-07 10:59:12 PDT,+76.9889
2012-08-07 11:00:12 PDT,+77.024
2012-08-07 11:01:12 PDT,+77.0591
2012-08-07 11:02:12 PDT,+77.094
2012-08-07 11:03:12 PDT,+77.1287
2012-08-07 11:04:12 PDT,+77.1633
2012-08-07 11:05:12 PDT,+77.1977
2012-08-07 11:06:12 PDT,+77.232
2012-08-07 11:07:12 PDT,+77.2662
2012-08-07 11:08:12 PDT,+77.3003
2012-08-07 11:09:12 PDT,+77.3343
2012-08-07 11:10:12 PDT,+77.3683
2012-08-07 11:11:12 PDT,+77.4023
2012-08-07 11:12:12 PDT,+77.4362
