# file...... V_tm_9.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 68,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,v1,v2
2009-07-22 21:00:00 PDT,740,-59.66,103.822,-59.9137,103.967,-119.574,207.789,119.7427379,119.9949521
2009-07-22 21:30:00 PDT,887,-59.6072,103.812,-59.9113,103.987,-119.519,207.799,119.7077677,120.011083
2009-07-22 22:00:00 PDT,1578,-59.3759,103.715,-59.9175,104.027,-119.293,207.742,119.5085718,120.0488381
2009-07-22 22:30:00 PDT,937,-59.6113,103.809,-59.9325,103.993,-119.544,207.802,119.7072077,120.0268662
2009-07-22 23:00:00 PDT,949,-59.6036,103.798,-59.929,103.985,-119.533,207.784,119.6938342,120.0181872
2009-07-22 23:30:00 PDT,1526,-59.4072,103.723,-59.9308,104.025,-119.338,207.747,119.5310677,120.0537439
2009-07-23 00:00:00 PDT,954,-59.6207,103.798,-59.9478,103.986,-119.568,207.783,119.7023503,120.0284421
2009-07-23 00:30:00 PDT,551,-59.7705,103.85,-59.9594,103.959,-119.73,207.809,119.822098,120.0108467
2009-07-23 01:00:00 PDT,541,-59.7362,103.849,-59.9216,103.955,-119.658,207.804,119.8041251,119.9885002
2009-07-23 01:30:00 PDT,476,-59.7975,103.86,-59.9606,103.954,-119.758,207.814,119.8442348,120.0071151
2009-07-23 02:00:00 PDT,312,-59.8538,103.88,-59.9607,103.942,-119.815,207.822,119.889665,119.9967704
2009-07-23 02:30:00 PDT,254,-59.8831,103.889,-59.9701,103.939,-119.853,207.828,119.9120927,119.9988692
2009-07-23 03:00:00 PDT,249,-59.8803,103.889,-59.9656,103.938,-119.846,207.826,119.9106945,119.9957542
2009-07-23 03:30:00 PDT,285,-59.8699,103.885,-59.9675,103.941,-119.837,207.825,119.9020356,119.9993022
2009-07-23 04:00:00 PDT,194,-59.9035,103.896,-59.97,103.934,-119.873,207.831,119.9283458,119.9944884
2009-07-23 04:30:00 PDT,267,-59.8779,103.887,-59.9694,103.939,-119.847,207.826,119.9077632,119.9985194
2009-07-23 05:00:00 PDT,223,-59.895,103.893,-59.9714,103.937,-119.866,207.83,119.9215013,119.9977866
2009-07-23 05:30:00 PDT,195,-59.9019,103.895,-59.9687,103.934,-119.871,207.829,119.9266803,119.9938387
2009-07-23 06:00:00 PDT,347,-59.8503,103.877,-59.9692,103.945,-119.819,207.823,119.8853183,120.0036165
2009-07-23 06:30:00 PDT,263,-59.8775,103.888,-59.9676,103.939,-119.845,207.827,119.9084299,119.9976199
2009-07-23 07:00:00 PDT,307,-59.8666,103.881,-59.9718,103.941,-119.838,207.822,119.8969222,120.0014511
2009-07-23 07:30:00 PDT,319,-59.859,103.88,-59.9683,103.942,-119.827,207.822,119.8922611,120.0005682
2009-07-23 08:00:00 PDT,333,-59.8557,103.878,-59.9698,103.944,-119.826,207.822,119.8888807,120.0030502
2009-07-23 08:30:00 PDT,298,-59.8621,103.883,-59.9643,103.941,-119.826,207.824,119.8964082,119.9977031
2009-07-23 09:00:00 PDT,167,-59.9007,103.899,-59.9579,103.932,-119.859,207.831,119.9295462,119.9867092
2009-07-23 09:30:00 PDT,225,-59.8972,103.892,-59.9743,103.936,-119.871,207.829,119.9217338,119.9983698
2009-07-23 10:00:00 PDT,735,-59.6785,103.826,-59.9305,103.971,-119.609,207.796,119.7554243,120.0068068
2009-07-23 10:30:00 PDT,549,-59.753,103.851,-59.9412,103.958,-119.694,207.809,119.8142363,120.0008884
2009-07-23 11:00:00 PDT,470,-59.7355,103.857,-59.8966,103.949,-119.632,207.807,119.8107107,119.9708185
2009-07-23 11:30:00 PDT,616,-59.7189,103.841,-59.93,103.962,-119.649,207.804,119.788565,119.9987598
2009-07-23 12:00:00 PDT,658,-59.7011,103.835,-59.9266,103.965,-119.628,207.8,119.7744905,119.9996609
2009-07-23 12:30:00 PDT,1331,-59.2375,103.68,-59.6945,103.944,-118.932,207.624,119.4094795,119.8657101
2009-07-23 13:00:00 PDT,977,-59.5733,103.793,-59.9083,103.985,-119.482,207.778,119.6744121,120.0078524
2009-07-23 13:30:00 PDT,628,-59.7231,103.839,-59.9384,103.962,-119.662,207.801,119.7889252,120.0029551
2009-07-23 14:00:00 PDT,4261.25,-59.091,103.554,-59.2615,103.653,-118.352,207.207,119.227418,119.3979472
2009-07-23 14:30:00 PDT,537,-59.7839,103.853,-59.968,103.958,-119.752,207.811,119.8313828,120.0142774
2009-07-23 15:00:00 PDT,428,-59.8211,103.867,-59.9677,103.951,-119.789,207.819,119.8620778,120.0080641
2009-07-23 15:30:00 PDT,828,-59.6772,103.813,-59.9611,103.976,-119.638,207.788,119.7435057,120.0264225
2009-07-23 16:00:00 PDT,530,-59.7685,103.854,-59.9501,103.958,-119.719,207.812,119.8245672,120.0053343
2009-07-23 16:30:00 PDT,752,-59.696,103.824,-59.9538,103.972,-119.65,207.796,119.7624123,120.0193106
2009-07-23 17:00:00 PDT,992,-59.6091,103.793,-59.9493,103.989,-119.558,207.782,119.6922372,120.0317903
2009-07-23 17:30:00 PDT,893,-59.5739,103.799,-59.8801,103.975,-119.454,207.773,119.6799146,119.9851116
2009-07-23 18:00:00 PDT,997,-59.3774,103.726,-59.7195,103.924,-119.097,207.65,119.5188634,119.8608212
2009-07-23 18:30:00 PDT,1658,-59.2434,103.698,-59.8125,104.027,-119.056,207.724,119.4280354,119.9964661
2009-07-23 19:00:00 PDT,829,-59.5196,103.81,-59.8038,103.973,-119.323,207.783,119.6624372,119.9453176
2009-07-23 19:30:00 PDT,897,-59.6278,103.805,-59.9354,103.982,-119.563,207.787,119.7119566,120.0187839
2009-07-23 20:00:00 PDT,1713,-59.3497,103.698,-59.9377,104.037,-119.287,207.735,119.4808022,120.0675862
2009-07-23 20:30:00 PDT,722,-59.7031,103.828,-59.9506,103.97,-119.654,207.797,119.769419,120.0159795
2009-07-23 21:00:00 PDT,450,-59.8072,103.862,-59.9614,103.951,-119.769,207.813,119.8508082,120.0049161
2009-07-23 21:30:00 PDT,422,-59.8011,103.865,-59.9457,103.948,-119.747,207.813,119.8503641,119.9944734
