# file...... V_tm_8.csv,,,,,,,,,
# date...... Fri May 18 11:44:36 2012,,,,,,,,,
# user...... Luca Meschiari,,,,,,,,,
# host...... (null),,,,,,,,,
# target.... triplex_meter 67,,,,,,,,,
# trigger... (none),,,,,,,,,
# interval.. 1800,,,,,,,,,
# limit..... 1000000,,,,,,,,,
# timestamp,measured_real_power, voltage_1.real,voltage_1.imag,voltage_2.real,voltage_2.imag,voltage_12.real,voltage_12.imag,,
2009-07-22 11:30:00 PDT,407,-60.0563,-103.709,-60.0558,-103.869,-120.112,-207.578,119.8428798,119.9811163
2009-07-22 12:00:00 PDT,148,-60.0327,-103.823,-60.0325,-103.881,-120.065,-207.704,119.9297311,119.979845
2009-07-22 12:30:00 PDT,144,-60.0398,-103.808,-60.0396,-103.865,-120.079,-207.674,119.9203004,119.9695453
2009-07-22 13:00:00 PDT,246,-60.0751,-103.713,-60.0748,-103.81,-120.15,-207.523,119.8557634,119.9395585
2009-07-22 13:30:00 PDT,147,-60.0312,-103.825,-60.031,-103.883,-120.062,-207.707,119.9307117,119.9808262
2009-07-22 14:00:00 PDT,142,-60.0271,-103.836,-60.0268,-103.892,-120.054,-207.727,119.9381825,119.9865175
2009-07-22 14:30:00 PDT,141,-60.0309,-103.827,-60.0307,-103.883,-120.062,-207.71,119.9322929,119.9806761
2009-07-22 15:00:00 PDT,139,-60.034,-103.823,-60.0338,-103.878,-120.068,-207.7,119.9303818,119.9778981
2009-07-22 15:30:00 PDT,286,-60.0436,-103.765,-60.0432,-103.878,-120.087,-207.644,119.8849829,119.9826019
2009-07-22 16:00:00 PDT,229,-60.0484,-103.77,-60.0481,-103.861,-120.097,-207.631,119.8917147,119.9703365
2009-07-22 16:30:00 PDT,234,-60.0412,-103.783,-60.0409,-103.875,-120.082,-207.658,119.8993611,119.9788535
2009-07-22 17:00:00 PDT,234,-60.0376,-103.793,-60.0373,-103.885,-120.075,-207.678,119.9062144,119.9857101
2009-07-22 17:30:00 PDT,155,-60.029,-103.832,-60.0288,-103.893,-120.058,-207.724,119.9356705,119.9883839
2009-07-22 18:00:00 PDT,166,-60.0338,-103.818,-60.0336,-103.883,-120.067,-207.701,119.9259533,119.9821271
2009-07-22 18:30:00 PDT,528,-60.0785,-103.64,-60.078,-103.848,-120.156,-207.488,119.7943061,119.9740521
2009-07-22 19:00:00 PDT,754,-60.1291,-103.485,-60.1287,-103.783,-120.258,-207.269,119.6856461,119.9432018
2009-07-22 19:30:00 PDT,499,-60.0918,-103.623,-60.0914,-103.82,-120.183,-207.443,119.7862703,119.9565286
2009-07-22 20:00:00 PDT,347,-60.0473,-103.746,-60.0469,-103.883,-120.094,-207.63,119.8703915,119.9887823
2009-07-22 20:30:00 PDT,228,-60.0444,-103.78,-60.0441,-103.87,-120.088,-207.65,119.8983668,119.9761261
2009-07-22 21:00:00 PDT,224,-60.0392,-103.794,-60.0388,-103.883,-120.078,-207.677,119.9078812,119.984729
2009-07-22 21:30:00 PDT,230,-60.1032,-103.548,-60.103,-103.639,-120.206,-207.186,119.7271187,119.80573
2009-07-22 22:00:00 PDT,356,-60.0695,-103.696,-60.0691,-103.836,-120.139,-207.532,119.8382462,119.9592084
2009-07-22 22:30:00 PDT,431,-60.1208,-103.461,-60.1206,-103.632,-120.241,-207.093,119.660725,119.8085054
2009-07-22 23:00:00 PDT,461,-60.0613,-103.687,-60.0608,-103.869,-120.122,-207.556,119.8263482,119.9836191
2009-07-22 23:30:00 PDT,232,-60.0601,-103.744,-60.0598,-103.836,-120.12,-207.58,119.8750731,119.9545517
2009-07-23 00:00:00 PDT,206,-60.0429,-103.787,-60.0426,-103.869,-120.086,-207.656,119.9036747,119.9745097
2009-07-23 00:30:00 PDT,161,-60.029,-103.826,-60.0288,-103.89,-120.058,-207.716,119.9304762,119.9857864
2009-07-23 01:00:00 PDT,149,-60.0272,-103.833,-60.027,-103.892,-120.054,-207.726,119.9356354,119.9866176
2009-07-23 01:30:00 PDT,148,-60.026,-103.835,-60.0258,-103.894,-120.052,-207.729,119.9367663,119.987749
2009-07-23 02:00:00 PDT,147,-60.0218,-103.846,-60.0216,-103.904,-120.043,-207.75,119.9441878,119.9943069
2009-07-23 02:30:00 PDT,146,-60.0196,-103.849,-60.0194,-103.906,-120.039,-207.755,119.9456843,119.9949383
2009-07-23 03:00:00 PDT,145,-60.0179,-103.854,-60.0176,-103.911,-120.036,-207.765,119.9491627,119.9983676
2009-07-23 03:30:00 PDT,144,-60.0186,-103.851,-60.0184,-103.908,-120.037,-207.76,119.9469155,119.9961699
2009-07-23 04:00:00 PDT,144,-60.0185,-103.853,-60.0183,-103.91,-120.037,-207.763,119.9485971,119.9978518
2009-07-23 04:30:00 PDT,111,-60.0184,-103.861,-60.0182,-103.905,-120.037,-207.766,119.9554737,119.9934721
2009-07-23 05:00:00 PDT,145,-60.0191,-103.85,-60.0189,-103.907,-120.038,-207.757,119.9462999,119.9955541
2009-07-23 05:30:00 PDT,111,-60.0165,-103.866,-60.0163,-103.91,-120.033,-207.776,119.9588522,119.9968515
2009-07-23 06:00:00 PDT,144,-60.0236,-103.842,-60.0234,-103.898,-120.047,-207.74,119.9416255,119.9900119
2009-07-23 06:30:00 PDT,109,-60.0226,-103.853,-60.0224,-103.897,-120.045,-207.75,119.9506487,119.9886458
2009-07-23 07:00:00 PDT,136,-60.0286,-103.839,-60.0284,-103.893,-120.057,-207.732,119.9415305,119.9881838
2009-07-23 07:30:00 PDT,113,-60.0203,-103.858,-60.0201,-103.902,-120.04,-207.76,119.9538269,119.9918248
2009-07-23 08:00:00 PDT,110,-60.02,-103.858,-60.0198,-103.902,-120.04,-207.76,119.9536767,119.9916747
2009-07-23 08:30:00 PDT,142,-60.021,-103.848,-60.0208,-103.904,-120.042,-207.752,119.9455191,119.9939067
2009-07-23 09:00:00 PDT,103,-60.0144,-103.87,-60.0143,-103.911,-120.029,-207.781,119.961265,119.9967171
2009-07-23 09:30:00 PDT,143,-60.0195,-103.852,-60.0192,-103.908,-120.039,-207.76,119.9482317,119.9965701
2009-07-23 10:00:00 PDT,614,-60.0622,-103.648,-60.0615,-103.891,-120.124,-207.539,119.7930539,120.0030152
